"","LAML","OV","ESCA","STAD","HNSC","LUSC","BLCA","CESC","LUAD","COADREAD","PAAD","UCEC","UCS","BRCA","PRAD","KICH","THCA","KIRC","KIRP","CHOL","LIHC","SKCM","UVM","ACC","PCPG","GBM","LGG","MESO","SARC","TGCT","DLBC","THYM"
"chr3:15382975-15416780",-1.66579087033373,-2.34043719522139,-2.24244328502179,-2.20168001555906,0.220271330104106,0.0151702243437493,0.584047476136545,0.987109425816058,0.118731705695837,0.13942868842017,-0.112520057715197,0.845461233597094,1.2942789264934,0.520821267926328,0.450481303161541,-0.826363949089342,0.762501252519258,-0.249361393641627,-0.283189867798517,-0.255883913302778,0.234170650114253,0.821670562102914,0.0240870243248505,0.424886368638515,-0.148370602688006,-0.849223692365159,-0.194902321320242,0.505968637568936,0.960637075898445,-0.395015405565597,1.32561492018771,1.52984449657273
"chr3:142897407-142940182",-2.01057048372736,-1.54329683372519,-2.7133614733778,-2.44938656620262,-0.346041423848255,-0.409063596065194,0.349805783075275,-0.00405596198435367,0.176945099957427,-0.226820150078558,0.141774920940071,0.620348553259279,1.49733828505265,0.130394813343682,0.336433438556002,-0.300124565387725,0.956131186384238,-0.0393613980793604,0.452608528969942,0.950714496013525,0.761155384089507,0.807524652233071,0.772232434776772,0.566454256690426,0.744611253152275,-1.18411888270946,-0.0418486667992668,0.606785612005683,0.469290383889956,-0.268497753593425,0.181219127635029,1.01477954555376
"chr15:36906499-36909190",-1.36570880229338,-2.22425471013721,-1.84241132528383,-1.60895934558411,0.43192189048637,0.205391713187981,0.715080544288724,0.677376941623419,0.621430670368546,0.62153621980452,0.512568872739092,0.805650101920072,0.928710566956951,0.897774969687063,-0.441249928401332,-0.59664153455567,0.268840326273922,-0.0504491411994514,0.167216121477313,0.451539423551066,0.429799820592837,1.16694143508024,0.57285212385603,0.55865372848683,-0.270379050759699,-2.87581465794005,-0.560204015287764,0.831559357965697,0.198110186098928,-0.439860624641638,0.988189442002012,0.224788679636522
"chr15:94614149-94624227",-2.11732312990475,-2.32742377476081,-2.06612347152491,-1.93583048501282,-0.0442615724469537,-0.18011661774311,0.423170244885474,0.408044095423445,0.318335737185555,0.307850698981992,0.0855136160742232,0.332301925166691,0.846520970058083,0.512545070910428,0.412842297740314,1.09010534444415,0.321985381189028,-0.249471863075454,0.429865984721042,0.416358422260957,1.35576883038085,0.532724719320446,0.0195044074057493,1.59703602889216,0.265017220005546,-2.0762644314883,0.131353822351833,0.473884112067342,0.287636748348128,-0.0647452490254239,0.355020655224724,0.138174261944381
"chr12:106410884-106444639",-1.50313790297649,-2.45116416895394,-2.34463777530211,-2.16559643484408,-0.00377632443842714,0.133934557181425,0.0762598886160223,0.0338655020684515,0.24210531821265,0.266932465955869,-0.0700061779790186,0.185512879233293,0.80826115954905,0.346627931974701,0.642543926307582,0.915350171516018,0.80303124330409,0.450994515865344,0.291793288625166,0.18320922961574,0.373515592803837,0.921367249362559,1.31200045275028,0.780787220270496,0.326239288460328,-2.09722319626926,1.04990447015015,0.158252534095792,0.359075568835468,-0.336928327727026,-0.0871316845925732,0.398037538328612
"chr19:18143009-18151065",-1.5537559798153,-2.65836929396069,-2.39694416619517,-2.0710790954836,0.129034708865301,0.0283788684438048,0.365911778996791,0.220866206748484,0.296648208181741,0.487589686223243,0.0695682081478353,0.426687037284306,0.762987586496495,0.47115286303024,0.368052431625579,1.12690032807029,0.305691483575409,0.14195454492324,0.525369562752182,0.573178472291067,0.0701962245206948,0.757255540238513,0.816254762305014,1.13900248608062,0.131333101141824,-2.10750261398871,0.40850754348096,0.360417712305996,0.322137991509709,-0.30581516132722,0.532311411245209,0.25607756228615
"chr4:109329834-109338761",-1.23585200033775,-1.39450933870506,-1.31582509505702,-2.52643739371057,1.94692104186587,0.914432563324762,0.279964657235229,0.839217221950243,0.131124927231954,-0.640989562326316,-0.267379540791813,0.53551095060718,0.462748627917602,0.157719878630943,0.138723185288031,0.329937717182616,0.0986701265569473,-0.769307433328919,0.276806609913152,0.0942173882771993,0.393168098475999,0.558104589113304,1.02513754793628,0.0945203454605937,-0.404060608105865,-1.97764596639104,-0.228886808661397,0.127288669303668,0.53952729838771,2.39037305630388,-0.690195563707343,0.116974810159939
"chr2:192261323-192265008",-0.980344794927343,-1.92060929887016,-1.30068814779049,-1.96035373979564,1.93528451374861,0.855028622155411,0.347613819857204,0.97285394790003,0.23973870676856,-0.512051176372079,-0.151163114072209,0.450484719571187,0.533351543397319,0.0569672819841817,-0.0491786067902589,0.305027800739287,0.0249152718805996,-0.410445056982882,0.200802497802285,0.0391613946391852,0.474950440431481,0.524401879132812,0.856187050352402,-0.068704326638616,-0.206669349497772,-2.41210926356058,-0.274143767426611,-0.0493891064127953,0.715670177815337,2.45323532088219,-0.650488043901286,-0.0393371960193544
"chr10:105365774-105368276",-0.405054123980236,-2.27640149741712,-1.49227557793549,-1.927731984382,1.79620304883713,0.887604812151763,0.248625544376641,1.19583010002838,-0.0509820288119128,-0.402324349306807,0.232263928923799,0.0991337273966113,0.602173910548704,-0.070573382873301,-0.44135266931677,0.402596134191847,-0.216725858246505,-0.722553923300239,-0.285218313030367,0.475270336137772,-0.064865931536167,0.362373467365251,0.203389830347375,-0.00528117250372193,1.66441045312666,-2.1349403184785,0.3124725542672,-0.381002277026252,0.210872288096932,2.09871975578713,-0.253300993252055,0.338644509814259
"chr1:112147424-112150658",-0.285894311277462,-2.02897288273065,-1.10953233694671,-1.79424628170139,1.94909645209598,0.786142606007852,0.439222661182196,0.837351600678399,-0.0524033860159348,-0.68203759974872,-0.32829949226388,0.568385009955596,0.335700121031866,-0.363828056073062,-0.237001779377222,0.0509633467924064,0.20532473441318,-0.501523658903841,0.146358739248609,-0.018716810304491,0.543231860910893,0.138403802132662,-0.339881346096596,0.00760528285963173,0.207539392650271,-2.47001415629078,-0.286111745463289,-0.16029544509776,0.540986951059425,2.8201045531439,0.609028669638695,0.473313504490217
"chr12:122840807-122845263",-0.138297010286188,-2.07135885289634,-1.24032193908705,-1.89959935682501,1.95679130543385,0.83887569590115,0.476147162849049,0.960692058560589,0.133690498152517,-0.352598821737095,-0.177246637283847,0.32919599094192,0.249553936399023,-0.333306093794657,-0.095997573776153,0.151071319807862,0.093145882848871,-0.408386495933153,0.196854049657188,0.213042462608638,0.279158849679093,0.309786932071642,-0.166358769345471,0.0885585505228735,0.0458610969794556,-2.66425768101276,-0.211050511199322,-0.0363991647073886,0.34317733018827,2.75070025433149,0.153790485300116,0.225085045650823
