"","BLCA","LUSC","CESC","HNSC","LUAD","COADREAD","PAAD","LAML","OV","ESCA","STAD","SKCM","UVM","ACC","PCPG","GBM","LGG","MESO","SARC","TGCT","DLBC","THYM","KIRC","KIRP","CHOL","LIHC","UCEC","UCS","BRCA","PRAD","KICH","THCA"
"chr2:60769160-60771265",-0.200549109382306,1.21209252788836,0.821782057069671,0.0742751249437044,0.0633193496176455,1.40379513699302,-0.20257409084644,1.99652361811989,0.261515940889624,0.0547739094732338,-0.360116712360336,-0.886011171120343,-0.766298077168952,-0.195136475553746,-0.303270243373427,-0.70997990175097,-1.04885276804511,-1.02328206850361,-1.20044511526606,-0.199849478201249,2.0412853415719,2.06992980767257,-0.688861207329017,-0.469853051004729,0.278968473818995,-1.28651507281861,0.233965890425877,1.65899278418133,-0.637860354747803,-0.419298799021121,-1.64257795881504,0.0701116926430568
"chr2:60736059-60754690",-0.172217350940548,0.786348157598883,0.682703685255627,0.680844367172691,-0.234124425202684,0.774126937039782,-0.535533928616625,2.81054771534111,0.157235643694551,0.876563155728052,0.597444309392542,-0.49781600088255,-0.735751950215063,-0.658376894817313,-0.708538583855502,-0.904216987994998,-0.973845005703745,-0.730592287443491,-0.783462101678532,-0.0225406267642209,2.77047927260714,1.7180368413769,-0.720598956697112,-0.62288510597213,-0.493950487302315,-0.820569201237913,0.140465038691047,0.438283033674771,-0.482981589855965,-0.613419836650275,-0.999329895634061,-0.722326940108051
"chr2:60763441-60768917",-0.320906612657776,0.601927964549427,0.501308563487306,0.123360139747111,-0.178982992547584,0.893905245963691,-0.296076566050243,4.35613141845107,0.0599030374444386,0.705264177377177,0.0766596804345664,-0.655595824689925,-0.78200937730751,-0.488341268552204,-0.510197781958082,-0.876840787019909,-0.709162946182058,-0.53019401184939,-0.8187850962554,-0.120280368553318,1.48962264675024,1.17210718398869,-0.360065954269326,-0.52242787712898,-0.160786533004624,-0.836112675897405,-0.0271507098306708,0.265891873905135,-0.19409898220729,-0.499691107412951,-0.887851998676351,-0.470522460047863
"chr2:60696068-60722721",-0.147664313501198,0.773623701900516,0.613537915811211,0.269559508711807,-0.0441900871123185,0.594876551424554,-0.19753648118349,3.98556963624198,-0.225408532675255,0.193921438173959,-0.106758024477583,-0.378585163817352,-0.779288324067699,-0.639637030437147,-0.548229934134308,-0.924457743622736,-0.690123381573028,-0.59302767583384,-0.632487279602567,-0.115131958909522,2.22837999819052,1.46540147564148,-0.64213432297414,-0.591279991538467,-0.158564001151712,-0.69348215070084,-0.171209058998517,0.398814366741153,-0.327051947713433,-0.485019568323669,-0.885668999707552,-0.546748620780811
"chr2:60771626-60773006",-0.371010523498479,1.12091454143093,0.432365471394514,0.134618815695963,0.109262481699512,1.27438199584907,-0.252965953999962,3.71482291669179,0.366518066323976,0.760289649312276,0.172002954252068,-0.716174859315082,-0.697580150528986,-0.515600046622558,-0.65640524566977,-0.558353759898726,-0.900887078250943,-0.906810813284733,-1.01732080973288,-0.277003171177759,1.70671150743802,1.17491599149752,-0.488388404549667,-0.55564381949053,0.0426221006858807,-1.10336321602596,-0.205834048624055,0.59905924445366,-0.472091287279192,-0.447111525858149,-1.20579572837704,-0.26014529454071
"chr2:60755770-60763174",-0.349112375655748,0.591305810125652,0.707080667614836,0.259645327675101,-0.388856758619636,1.12276515125464,-0.364287001890072,3.4145000711151,0.282659017356871,0.68264102501239,0.0951192968614947,-0.798964430208928,-0.871129515117431,-0.268554440200185,-0.560362172046305,-0.798492698842652,-0.925262679093238,-0.839533589780047,-0.868943195178076,-0.158224542744786,1.80311287970283,1.92234522716603,-0.583851048407708,-0.528939320471874,-0.0705069521563327,-0.940448040465397,0.267438681922459,0.899314038065666,-0.503685748472472,-0.547732346551184,-1.10246363730708,-0.578576700663912
"chr13:114843538-114872944",-0.514935425864346,-0.270823311130034,-0.398255313260972,-0.254262479782521,-0.241203798682322,-0.386140430304642,0.00636151334508608,3.85302198975942,-0.434494638266271,-0.117596681086846,0.0583144887620275,0.564361340440089,-0.53593467283319,-0.818741770867785,0.680432163822008,-0.429042561462508,0.327835189286818,-0.0270822418835021,-0.0155983155592687,-0.45827436376044,-0.325623350575698,3.29045725668172,-0.0301530663105502,-0.325850456717193,-0.368494816499615,-0.754995865710771,-0.582775628849017,0.169674390728287,-0.155549124592,-0.421166623102355,-0.673158253267295,-0.410305142456321
"chr20:43255340-43257588",-0.025752662744688,0.374953416785673,0.024329039551021,-0.026590934033107,-0.311785902360996,-0.274537882346093,-0.0310982552497667,2.68559516892689,-0.639269092112694,0.344398099694824,-0.352571485149516,0.0353216779854282,-0.856174122431386,-0.568930092465181,-0.691469806099654,-0.458973939983699,0.112946105976681,0.181702980839146,0.0744895259038981,-0.536852923242325,1.98797761207163,3.57391719313669,0.0519731019323147,-0.726475084366909,-0.191546530033218,-0.614462235233518,-0.493704355725175,0.474627065931997,-0.509955870007437,-0.977657856875946,-0.964520542719799,-0.669901415555082
"chr19:1074978-1077342",-0.562137782365596,0.0142108345699991,-0.294598580369784,-0.696155317577965,1.0582307591289,-0.230262406392096,0.765534909836653,3.38099267584278,-0.84547883938764,-0.439937601468239,-0.220495241802458,0.270716418722464,-1.25976786486604,-1.30597785181399,-1.28998834762789,-0.75106726452591,-0.659194959028044,0.573996731968355,-0.636869043661234,-0.337642833953747,1.56820196141311,1.67607261901558,0.77509162337379,0.238841368584433,0.394239633778664,-0.581628006461676,-0.674115933753847,-0.995958777161198,0.790751259838118,-0.385213504346306,0.668990793295506,-0.00938143280469155
"chr12:15097873-15100523",0.178677088189724,0.0597013124127636,-0.437247227213681,-0.71188861762143,1.06389814594063,-0.218839103021229,0.571863078102451,4.06500367194467,-0.718909016861856,-0.229648891222201,-0.0254612334398031,0.0315232902028144,-1.29129888288611,-0.986826827071134,-0.686003134968396,-0.19679872969359,-0.454579434772375,0.127165678357664,-0.111106436770139,-0.413912644677694,1.1530420981825,1.05750316984833,1.00611770924607,-0.320166385485051,0.03342710949497,-0.777295589414427,-0.999681943322901,-1.00246398177809,1.02478405695524,-0.46248377055185,-0.7195138009842,0.391419242878335
