"","LIHC","KIRC","KIRP","TGCT","DLBC","THYM","MESO","SARC","UCS","SKCM","UVM","ACC","PCPG","GBM","LGG","LAML","ESCA","STAD","HNSC","CESC","LUSC","BRCA","PRAD","THCA","BLCA","LUAD","COADREAD","CHOL","PAAD","KICH","OV","UCEC"
"chr17:3848770-3850585",-0.777915388554456,0.129153140584621,-0.545041088941537,0.172650366376362,1.95104070439069,1.86333704745665,-0.255889373529824,-0.555414312958848,-1.00402593193855,-0.120093814881968,-1.11296570732326,0.031643994516738,-0.459812141443925,-1.2860910213703,-1.26706005560256,3.21811812150699,0.246762431359923,0.746360238846241,-0.690717133125036,-0.257093170341493,-0.0628981273623106,0.484591764507336,-0.124350965898668,-0.269565118605522,-0.299634289718329,0.665727931056708,0.616336020426369,-0.130567691832472,1.38303260895316,-0.42638729962812,-1.10630474086111,-0.7569269960635
"chr19:16262488-16263262",-0.54134323073341,-0.640602506586432,-0.631727531392186,-0.465394372066655,2.99872594486933,0.0148850313020738,-0.298948009347548,-0.86744666037047,-0.653313085332539,-0.417640432885896,-1.36396428070942,-0.686400499544997,-1.11280766328831,-1.42655277719326,-1.13997680879166,2.43442807616473,0.728094526941746,1.28947378949527,-0.502745291773222,0.222348824260507,-0.155618071741131,0.221741995021742,0.547490952193162,-0.318322546196467,0.38511265647994,0.800800645226828,0.749635000617556,0.154316051806056,0.844106493493537,-0.991602022103021,0.279732127830198,0.54351367435395
"chr19:16265773-16266352",-0.586385173256294,-0.490937568542632,-0.62759748351986,-0.227742097408326,1.59778889325257,-0.196029266474965,-0.285949434651294,-0.865685107101615,-0.840818784113076,-0.397036291084863,-1.05451745204509,-0.474453226567007,-0.946140114864816,-1.05027469134352,-1.10411192441412,4.13633650482669,0.401942444348691,0.687280492036803,-0.531798636762073,0.0328688513381199,-0.000130266349288743,0.379532993178096,0.426405870817886,-0.274912098759956,0.259063214528472,0.818322396714101,0.715575396919293,0.428322425013186,0.815487736088538,-0.772596602737486,0.0624800741798087,-0.0342910732459652
"chr19:16259785-16262157",-0.587544816534217,-0.52771847804818,-0.632353562281637,-0.374227731903615,2.6423123863783,-0.14034321934599,-0.178109363711143,-0.84043777513748,-0.74922233783357,-0.431497438213011,-1.20253945140171,-0.581779952274538,-0.989763920417377,-1.17851490404573,-1.10476819963335,3.40066844325709,0.332245904488575,0.944558545206455,-0.550960623228766,0.00766808997729435,-0.176897469120899,0.399139861145904,0.462502801722079,-0.283405112762631,0.20706285019248,0.693968380590077,0.617181297037629,0.333588945676538,0.923927724706544,-0.805720382017435,0.311597038213842,0.0593824693184802
"chr5:148900051-148904508",-0.595195349552968,0.0919119605531707,-0.347547860337122,-0.515145089202682,-0.477945551800679,-0.465594301851717,-0.394901999517716,-0.496310002456396,-0.447265109503766,-0.548293686448816,-0.642720832432565,-0.299568318480206,-0.377027396209302,-0.403518241377927,-0.434054121121372,2.73778108222948,3.31443849576447,2.3460122390075,-0.324311695443806,-0.311845330919789,-0.392943094557051,0.00996386244385304,-0.064319666223783,-0.316600497740047,-0.238861987475147,-0.239174338360986,-0.404707638645517,-0.440330926951073,-0.250034181544497,-0.263114091280842,1.63184329951779,-0.440619630080487
"chr9:75766940-75769014",-0.704726744837048,-0.0676632364655788,-0.273360356321669,-0.615999363311609,-0.657147003040208,-0.547768101161672,0.202117769517744,-0.411963948238727,-0.592229550900523,-0.20607841697584,-0.737552182656231,-0.654315100857478,-0.597633913285141,-0.380517320377676,-0.557113971034234,4.30125277859754,2.22154553113451,0.431267945714747,0.930473564192197,0.476402938622958,0.150732950192579,-0.300146172712952,-0.33247389676373,0.939939255217526,-0.0961677046443271,-0.0562512151322176,-0.432547777461868,-0.674814276656942,-0.0653224625852495,-0.536652693945302,0.19038737071885,-0.345674694542426
"chr4:88940823-88951216",-0.792485544340652,0.599707704360055,0.121247140609825,-0.672280871618584,-0.597077051568934,-0.582039684649111,-0.219201041630183,-0.283116517547515,-0.443710341713072,0.219105793451662,0.173290986328867,-0.532776330752867,-0.596481943008196,0.341408224087028,-0.161674546809173,4.25122525676252,2.21199226992981,1.43017953751287,-0.633241070132384,-0.609876786478954,-0.270741628789169,-0.38884922966194,-0.481076268947485,-0.310515572238643,-0.366075321289089,-0.101683700149301,-0.678299999121312,-0.355416758372129,-0.184708934569309,-0.282382023788963,0.579773594022241,-0.384219339887905
"chr10:126811537-126821981",-0.6018638228946,-0.043408670339523,-0.212098639066024,-0.370834181210323,-0.560650646331332,-0.551427649135973,-0.335468870982031,-0.386674000779279,-0.0999187690498307,-0.37839602713876,-0.40871983390073,-0.402856069652875,-0.459929147040788,-0.502273760737346,-0.291515960167478,4.7823260715546,1.32020367238772,1.18012041772685,-0.464167513553902,-0.328745799764062,-0.357514590196081,0.0284903780267494,-0.226784286044062,-0.244693983114673,-0.415356656430603,-0.160868229479286,-0.000601858155066812,-0.0285795127119993,-0.081005243928601,-0.41969486728011,1.2417926610967,-0.218884611707276
"chr12:11803194-11869421",-0.548399821869433,0.012786297873893,-0.25959347599322,-0.62262411163685,-0.131987716311954,-0.146741429067903,-0.289767188161722,-0.375090772894196,-0.284506727450276,-0.25548123543621,-0.744235755945851,-0.393744605525249,-0.605881494493258,-0.265909419404632,-0.426136980876836,4.65926652043085,1.63281729534565,1.46610584631832,-0.384158802799782,-0.160476091839388,-0.308453710527938,0.145298638432868,-0.370147692548325,-0.311655090973135,0.0767713837703288,-0.0338528387195565,-0.344396508672289,-0.47489338433426,-0.120924802785918,-0.696995117532481,0.754668741729115,-0.191659948100353
"chr14:78003550-78013811",-0.420489356253066,-0.11231521050621,-0.296487195812627,-0.302724483669136,-0.266258504503955,-0.376847099993585,-0.31115773631275,-0.337732508031545,-0.359021497486987,-0.34461435279375,-0.467441726357698,-0.35194814310128,-0.39403699340409,-0.359985116666352,-0.203946138430529,4.94074132408991,1.49438987373514,1.26552446145635,-0.278575689840848,-0.257280388968713,-0.221328675712373,-0.214565305553723,-0.32378535991395,-0.317031634235104,-0.24145076012384,-0.146669466906898,-0.235017553186659,-0.350866766128939,-0.106925373376177,-0.183797619296371,0.4243712134057,-0.342726216119946
