"","LAML","OV","ESCA","STAD","BLCA","LUSC","CESC","HNSC","LUAD","COADREAD","PAAD","SKCM","UVM","ACC","PCPG","GBM","LGG","MESO","SARC","TGCT","DLBC","THYM","KIRC","KIRP","CHOL","LIHC","UCEC","UCS","BRCA","PRAD","KICH","THCA"
"chr1:159023614-159024511",0.35024809965326,-0.768371692749532,0.32991999669552,-0.904095022658001,0.37707303126701,0.901001007358672,1.79881639922583,0.905372367601605,0.0817937416660599,-1.26633923452646,0.50779237750188,2.24342656572387,-1.06172768457566,-0.39093870602769,-0.589222614429248,0.525314058938764,-0.250121939955142,1.2948035826189,0.804837642950362,0.113645102783207,1.4547118520995,1.08899094829626,0.287797608316513,-0.645576824940058,-0.00451627979649686,-1.13453683694354,-0.532643100750053,-0.660917100160651,-0.480087988608506,-1.6798692550175,-1.91817564928581,-0.778404452272872
"chr1:159025045-159028939",0.0550558710096275,-0.84249388991439,0.0945300586910392,-0.0285929559816666,1.12167544623965,0.588858541212584,1.31352199242137,0.59421131256761,0.841187002975715,-0.43241893481737,0.226527044890679,0.766640791298898,-0.995308623685133,-0.920617045529218,-0.859411026082955,-0.370771534638364,-0.145044992793771,0.504177420023604,-0.0550602481344872,-0.0748251499358626,4.23281009030842,0.216283466729048,-0.229901469201002,-0.696586669341206,-0.111425010807935,-0.755749996951982,-0.568336343587743,-0.610762917616757,-0.367783097653481,-0.735674478434963,-1.05791049312572,-0.696804160134232
"chr1:159029216-159032174",-0.396079775519651,-0.72322589040583,0.385197582074259,0.175166837668613,1.12326399028948,0.451392035241581,1.54358451500061,1.26417698132711,0.763764392231376,-0.349288359664653,-0.144017936676906,0.797857070610125,-1.00462640573771,-0.714850111071619,-0.77895032540007,-0.453882753146772,0.0883970915957824,0.092592735747591,0.306619574768528,-0.24409134915916,4.07296193677713,-0.36352134970387,-0.152668157822558,-0.803101752222048,-0.428411205673299,-0.78751516753821,-0.552373486271023,-0.394730904538966,-0.28869776103934,-0.827103041745057,-0.95791782794209,-0.699921182053355
"chr11:67352812-67353475",-0.922572895787345,-0.815071738249869,0.362564322503576,-0.837273087818852,1.32444488288732,1.02369872679262,2.1480958450213,0.942137132986332,0.648361448665454,0.483352105190326,0.706971173220146,0.0122599418482502,0.140918676854042,-1.49427359620776,-0.498585705964638,-0.112908387925422,-0.242421589416584,0.514697475123429,-0.453762732613245,0.434059023439832,0.751230465752677,0.778236864393365,-0.93108223535639,-0.0559846503899502,0.592222446481773,-2.20708777307218,1.33614015438817,0.845169016451724,-1.60902456501502,-1.53385761333497,-1.09741321095557,-0.23323991989255
"chr6:34211395-34212508",0.616520629409893,0.789232723634046,1.52447618186344,0.548149095133951,1.12760417485958,0.867986472493169,0.984819147271097,-0.0967166613227493,0.238222364406441,0.95715720305093,1.10517668448998,0.577684244870682,-0.0186820341333651,-2.26175903148656,-0.559699468885286,-0.139679298391763,-0.146290400730183,-0.745804726650759,-1.53911212418667,1.06113817211762,1.11378885316212,0.33863501584354,-1.60435728582539,-1.18241347344449,0.582040402477626,-1.40826678170075,0.627730693031751,0.243605704977466,-0.0636799799957756,-1.10328117678704,-1.344661225236,-1.08956409431654
"chr7:23510186-23517201",-0.820331273257952,-0.0744189058774643,0.458016145888636,0.052160575684841,0.215387257026351,0.850530303277164,0.488686857048026,-0.0878541965343495,-0.0233862608159287,0.0421285299477895,-0.0179827127850791,-0.0549720532398399,-0.943079996842958,-0.680544932249673,-0.908916673021243,0.794728358150226,-0.580510530229115,-0.53922299868521,-0.396413844901247,1.80681750999462,3.09497948637883,-0.66014735871753,-0.729348615989406,-0.772010054479028,-0.355430935825372,-0.172996676850567,0.56128438285238,2.79476878358949,-0.814053971431531,-0.916346124265983,-0.776365205861947,-0.835154867976936
"chr17:3630167-3631113",-1.14045513179822,-0.0910880331706035,0.370611408492914,0.069563941416966,0.782886859176558,0.328294352718913,1.29369387434601,0.687882114327548,-0.296005077065566,0.705666316626486,-0.508540504330335,0.69167774411575,-0.571969548002726,-0.413833062669035,-1.61464146113383,0.157036460101832,-1.06283236339594,0.0636099193854463,0.672356384621472,1.13516207004273,2.06211155930172,1.31468928505,-1.27640028871729,-1.2383681747119,-0.346034150914948,-0.474096996163469,1.28398092916907,1.48200940258598,0.14528085430959,-1.20354649222645,-1.61745843703335,-1.39124375445532
"chr4:1743930-1746066",0.715123693384978,-0.854282937969268,0.0900834047587365,-0.834981054257005,1.26359678853575,0.250979513711298,1.42793101645425,-0.468696257003498,-0.0670006450121249,0.246024373617825,0.327458410977979,-0.0337783452308545,-1.0828988299845,-0.340755151335464,-0.836532758747379,-0.117050729137882,-0.978413200691324,0.447000331453702,0.671014021689005,0.47605831725349,1.96994039396654,1.80347335774185,-1.04537039163817,-1.00152189901721,1.36405295858466,-0.433345982157469,0.743671139978011,1.40098694020134,-0.543012538802196,-1.49484073018279,-1.30225810574397,-1.76265510539831
"chr22:42303412-42307197",-0.798340080604108,0.40726019248066,0.112230100169907,0.413790823809944,-0.43581072635503,-0.257537610101027,0.383878001758923,-0.36968313624982,-0.51398167955034,-0.91482368295602,-0.415818744424762,-0.504580041272953,-0.561646858285015,2.46422884071363,0.459166446960428,0.156223904203894,0.563355203909952,-0.280730768981364,-0.0595716656448371,-0.164114875511918,4.00440630438834,-0.433326053018749,-1.06627073144077,-0.941790696516363,-0.499072803189406,-0.852365235758734,0.527801405774839,0.127393843914945,-0.507269644522004,0.516060768504555,0.3108371797811,-0.869897981987901
"chr6:36710363-36711366",-0.728310894146402,-0.907558421723993,-0.383275737233759,-0.224815084213474,-0.281840552416924,0.207290733403067,-0.252106477481028,-0.294690014978556,0.530613543561975,-0.146894853264039,0.342043740885212,1.01095096147553,-1.05047607944122,-0.995117633350964,0.243035997383181,1.64687204122651,2.12251722976199,-0.0121533582073648,-0.117093781023273,0.186935231136906,3.75835942398202,-0.674794101661268,0.47855344516134,-1.01223755065446,-0.216207198068815,-0.648309463898156,-0.568425899229636,-0.0645681766955187,-0.220712171777057,-1.03735523967687,-0.746990408437148,0.0567607496021874
